Protein,Label,log2FC,SE,DF,pvalue,adj.pvalue,issue
A0A075B6I0,ctrlH-M,1.06310155003477,1.07487220241756,18.6051777079008,0.335328281217414,0.933647425157431,NA
A0A075B6I0,ctrlH-Norm,-1.14654280426134,1.10147748492604,18.6162461584945,0.311246322318322,0.999843706217135,NA
A0A075B6I0,M-Norm,-2.20964435429611,0.910019724670302,18.6213765974392,0.0255004603853497,0.99768989811509,NA
A0A075B6K4,ctrlH-M,0.101420653126487,0.824356498306641,18.670760237111,0.903397977908845,0.994939568703672,NA
A0A075B6K4,ctrlH-Norm,0.384276842888849,0.805186797163911,18.6051751307049,0.638741084729162,0.999843706217135,NA
A0A075B6K4,M-Norm,0.282856189762363,0.680775325290727,18.7007228568173,0.682510915501002,0.99768989811509,NA
A0A0A0MS15,ctrlH-M,0.405071848211024,0.523690707771944,10.605176955788,0.456125409941628,0.942516713585552,NA
A0A0A0MS15,ctrlH-Norm,0.195006795334598,0.523690707771944,10.605176955788,0.71695113343707,0.999843706217135,NA
A0A0A0MS15,M-Norm,-0.210065052876425,0.427591672359413,10.605176955788,0.633240363116575,0.99768989811509,NA
A0A0B4J1U7,ctrlH-M,1.32797022251915,1.20448307443567,18.6051749054762,0.284292358257134,0.933647425157431,NA
A0A0B4J1U7,ctrlH-Norm,1.36945697045266,1.26963663944628,18.6051749054864,0.294542741180286,0.999843706217135,NA
A0A0B4J1U7,M-Norm,0.0414867479335112,1.06225422444776,18.6051749054733,0.969262269810701,0.99768989811509,NA
A0A0B4J1V0,ctrlH-M,-1.12474174701168,1.59294386216157,18.6304222377024,0.488876372272026,0.946889297662311,NA
A0A0B4J1V0,ctrlH-Norm,-1.4660237643703,1.5548373158767,18.6051814718202,0.357826209746203,0.999843706217135,NA
A0A0B4J1V0,M-Norm,-0.341282017358624,1.31591430383998,18.6420797641432,0.798207784054294,0.99768989811509,NA
A0A0B4J1V0;A0A0B4J1Y9;A0A0B4J1V6,ctrlH-M,0.0685328337437863,1.24767655624056,20.605179582075,0.956724645648294,0.998441172273122,NA
A0A0B4J1V0;A0A0B4J1Y9;A0A0B4J1V6,ctrlH-Norm,-0.239802630496784,1.24767655624056,20.6051795820525,0.849467621465269,0.999843706217135,NA
A0A0B4J1V0;A0A0B4J1Y9;A0A0B4J1V6,M-Norm,-0.30833546424057,1.0187236422741,20.6051795820638,0.765176894961116,0.99768989811509,NA
A0A0C4DH25,ctrlH-M,1.67631556983716,1.64995220916887,16.6051786885967,0.3242154541309,0.933647425157431,NA
A0A0C4DH25,ctrlH-Norm,-0.0778246112136373,1.6101884812895,16.6051786885934,0.962027738134043,0.999843706217135,NA
A0A0C4DH25,M-Norm,-1.7541401810508,1.29817545594973,16.6051786885917,0.194744343460554,0.99768989811509,NA
A0A0C4DH29,ctrlH-M,-1.17941654924935,0.676996279157819,10.605176955788,0.110365473891919,0.933647425157431,NA
A0A0C4DH29,ctrlH-Norm,-0.140921766354051,0.676996279157819,10.605176955788,0.839049605846423,0.999843706217135,NA
A0A0C4DH29,M-Norm,1.0384947828953,0.552765147233151,10.605176955788,0.0880243129917255,0.99768989811509,NA
A0A0C4DH31,ctrlH-M,0.381110119106433,0.933036739039864,19.6051785690263,0.687361409688012,0.973272876273608,NA
A0A0C4DH31,ctrlH-Norm,-1.54889326513494,0.933036739039864,19.6051785690263,0.112814146417985,0.999843706217135,NA
A0A0C4DH31,M-Norm,-1.93000338424138,0.689093300081468,19.6051785690327,0.0111774114177975,0.99768989811509,NA
A0A0U1RRL7,ctrlH-M,-0.471388658127991,0.376989331918743,16.8190189020234,0.228269785853984,0.933647425157431,NA
A0A0U1RRL7,ctrlH-Norm,-0.0691609079145863,0.392481925970727,16.6051775468291,0.862256822161779,0.999843706217135,NA
A0A0U1RRL7,M-Norm,0.402227750213405,0.301286578375656,16.9305575923689,0.199540248413096,0.99768989811509,NA
A0A1B0GUS4,ctrlH-M,0.700105184815227,1.15348746106346,10.605176955788,0.556657014571602,0.960118184008086,NA
A0A1B0GUS4,ctrlH-Norm,-0.233613716975423,1.15348746106346,10.605176955788,0.843336700204451,0.999843706217135,NA
A0A1B0GUS4,M-Norm,-0.93371890179065,0.941818568101321,10.605176955788,0.343571196092128,0.99768989811509,NA
A0AV96,ctrlH-M,-0.416930606709348,0.483053517479806,10.605176955788,0.407170208556802,0.936652679519394,NA
A0AV96,ctrlH-Norm,-0.530019698416798,0.483053517479806,10.605176955788,0.296830222985173,0.999843706217135,NA
A0AV96,M-Norm,-0.11308909170745,0.394411545427373,10.605176955788,0.779844148244606,0.99768989811509,NA
A0AV96;Q8TBY0,ctrlH-M,-0.193061809055624,0.745410691918321,10.605176955788,0.80059293626353,0.986329583868459,NA
A0AV96;Q8TBY0,ctrlH-Norm,0.150992160690602,0.745410691918321,10.605176955788,0.843310641602551,0.999843706217135,NA
A0AV96;Q8TBY0,M-Norm,0.344053969746225,0.60862528133828,10.605176955788,0.583632610963637,0.99768989811509,NA
A0AVT1,ctrlH-M,-0.0228072138738131,0.377266111925269,20.6051779056564,0.952376639644141,0.998441172273122,NA
A0AVT1,ctrlH-Norm,-0.0922750814143072,0.377266111925269,20.6051779056564,0.809193993449827,0.999843706217135,NA
A0AVT1,M-Norm,-0.0694678675404941,0.308036490486879,20.6051779056491,0.823797814111213,0.99768989811509,NA
A0FGR8,ctrlH-M,-0.0148218130630138,0.222568338713784,20.6051804040107,0.947546511507656,0.998441172273122,NA
A0FGR8,ctrlH-Norm,-0.237737554693073,0.222568338713784,20.6051804040107,0.297805445320027,0.999843706217135,NA
A0FGR8,M-Norm,-0.222915741630059,0.181726287582569,20.6051804040107,0.233784569999995,0.99768989811509,NA
A0JLT2,ctrlH-M,0.378706205341452,0.552907081879282,4.605176955788,0.526319229285765,0.9575407481879,NA
A0JLT2,ctrlH-Norm,Inf,NA,NA,NA,NA,oneConditionMissing
A0JLT2,M-Norm,Inf,NA,NA,NA,NA,oneConditionMissing
A0M8Q6,ctrlH-M,0.501694673284275,1.47430044133022,10.605176955788,0.740280285369238,0.975924059797944,NA
A0M8Q6,ctrlH-Norm,-0.888301677180575,1.47430044133022,10.605176955788,0.559487962946046,0.999843706217135,NA
A0M8Q6,M-Norm,-1.38999635046485,1.20376126960637,10.605176955788,0.27356458549106,0.99768989811509,NA
A1A4S6,ctrlH-M,-0.0988204458534643,0.420787922365456,19.6051951905305,0.816763509661931,0.989293983167117,NA
A1A4S6,ctrlH-Norm,-0.0697130229063418,0.420787922365456,19.6051951905304,0.870111129512698,0.999843706217135,NA
A1A4S6,M-Norm,0.0291074229471224,0.343571899907076,19.6051951905304,0.933343134958603,0.99768989811509,NA
A1L0T0,ctrlH-M,-0.282177994634889,0.281185504693289,20.60517882369,0.327245513862248,0.933647425157431,NA
A1L0T0,ctrlH-Norm,-0.466455302666544,0.281185504693289,20.60517882369,0.112283869554861,0.999843706217135,NA
A1L0T0,M-Norm,-0.184277308031655,0.229587003188508,20.60517882369,0.431339963998985,0.99768989811509,NA
A1L188,ctrlH-M,0.145847330285301,0.446923342269908,10.605176955788,0.750518982894829,0.978608948154072,NA
A1L188,ctrlH-Norm,0.246693093301826,0.446923342269908,10.605176955788,0.59240273378097,0.999843706217135,NA
A1L188,M-Norm,0.100845763016525,0.364911380900172,10.605176955788,0.787585269642154,0.99768989811509,NA
A2A288,ctrlH-M,-1.32342345701863,0.820856385628424,10.605176955788,0.136240812859659,0.933647425157431,NA
A2A288,ctrlH-Norm,-1.57719685257583,0.820856385628424,10.605176955788,0.0819479139533543,0.999843706217135,NA
A2A288,M-Norm,-0.2537733955572,0.670226432298299,10.605176955788,0.712426639702545,0.99768989811509,NA
A2RRP1,ctrlH-M,-0.0675120188548135,0.279419528160579,20.6051788096084,0.811466565098221,0.988695191738858,NA
A2RRP1,ctrlH-Norm,-0.189486016867154,0.279419528160579,20.6051788096084,0.505226836222027,0.999843706217135,NA
A2RRP1,M-Norm,-0.12197399801234,0.228145089387551,20.6051788096083,0.598625657470994,0.99768989811509,NA
A2RUS2,ctrlH-M,-0.0103659683142952,0.3656228563015,9.605176955788,0.977962167692934,0.998441172273122,NA
A2RUS2,ctrlH-Norm,-0.11614814185182,0.3656228563015,9.605176955788,0.757531698096681,0.999843706217135,NA
A2RUS2,M-Norm,-0.105782173537525,0.231240198105838,9.605176955788,0.657515588318947,0.99768989811509,NA
A2VDJ0,ctrlH-M,-0.0503126815155994,0.273844634258634,20.6051789006781,0.856023534322453,0.992879159641751,NA
A2VDJ0,ctrlH-Norm,0.013840551998122,0.273844634258634,20.6051789006781,0.960177526578152,0.999843706217135,NA
A2VDJ0,M-Norm,0.0641532335137214,0.223593207577579,20.6051789006799,0.777039396347901,0.99768989811509,NA
A3KMH1,ctrlH-M,-0.13011519827265,0.329716142737911,20.6051781309119,0.69717249438354,0.973645966405602,NA
A3KMH1,ctrlH-Norm,-0.154730403107272,0.329716142737911,20.6051781309062,0.643794555253028,0.999843706217135,NA
A3KMH1,M-Norm,-0.024615204834622,0.269212103222183,20.605178130909,0.928030629427263,0.99768989811509,NA
A3KN83,ctrlH-M,-0.9039879010326,0.355534847942854,20.6051780193147,0.0191122847407809,0.933647425157431,NA
A3KN83,ctrlH-Norm,-0.499099993282495,0.355534847942854,20.6051780193147,0.175270843605281,0.999843706217135,NA
A3KN83,M-Norm,0.404887907750105,0.290292987745999,20.6051780193199,0.177944951356609,0.99768989811509,NA
A4D0T2,ctrlH-M,-0.482792525604821,0.44007624196075,10.605176955788,0.296897900066979,0.933647425157431,NA
A4D0T2,ctrlH-Norm,-0.294560569577622,0.44007624196075,10.605176955788,0.517585164839881,0.999843706217135,NA
A4D0T2,M-Norm,0.1882319560272,0.359320746908475,10.605176955788,0.61115166128391,0.99768989811509,NA
A4D1E9,ctrlH-M,-0.391860657439413,0.237560359114617,20.6051798357094,0.114203912496611,0.933647425157431,NA
A4D1E9,ctrlH-Norm,-0.415373362199359,0.237560359114617,20.6051798357094,0.0952625535119885,0.999843706217135,NA
A4D1E9,M-Norm,-0.0235127047599466,0.193967220981047,20.6051798357094,0.904691137046724,0.99768989811509,NA
A4D1P6,ctrlH-M,0.561308855121011,0.23060061514998,20.6051800650955,0.0241258839845002,0.933647425157431,NA
A4D1P6,ctrlH-Norm,-0.0196487790834619,0.23060061514998,20.6051800650955,0.932919341941997,0.999843706217135,NA
A4D1P6,M-Norm,-0.580957634204473,0.188284613829789,20.6051800650977,0.00569298123304332,0.99768989811509,NA
A4D1U4,ctrlH-M,0.169430815898443,0.427482246772273,18.6186107864189,0.696355629649263,0.973645966405602,NA
A4D1U4,ctrlH-Norm,-0.0883521786426926,0.417173279782331,18.6051777466509,0.834575419760259,0.999843706217135,NA
A4D1U4,M-Norm,-0.257782994541136,0.353171190100998,18.6248335665306,0.474526729413963,0.99768989811509,NA
A5YKK6,ctrlH-M,-0.00124107516490038,0.253794431318432,20.6051793792583,0.996145331220472,0.999142184851911,NA
A5YKK6,ctrlH-Norm,-0.174330529494323,0.253794431318432,20.6051793792583,0.499806281721596,0.999843706217135,NA
A5YKK6,M-Norm,-0.173089454329423,0.207222285429996,20.6051793792583,0.413138708611224,0.99768989811509,NA
A6NC98,ctrlH-M,0.445878935180163,0.276464025151909,20.605178876723,0.12200147761835,0.933647425157431,NA
A6NC98,ctrlH-Norm,-0.0517262005674448,0.276464025151909,20.605178876723,0.853412858141707,0.999843706217135,NA
A6NC98,M-Norm,-0.497605135747608,0.225731931286051,20.6051788767248,0.039011213204705,0.99768989811509,NA
A6NCL1,ctrlH-M,-0.382074105347085,1.12018802820278,8.605176955788,0.741222679555209,0.975924059797944,NA
A6NCL1,ctrlH-Norm,-0.390757173213411,1.15692522076007,8.605176955788,0.743640696574672,0.999843706217135,NA
A6NCL1,M-Norm,-0.00868306786632544,0.765234104907414,8.605176955788,0.991205336066678,0.998751052693251,NA
A6NDG6,ctrlH-M,0.290850093499863,0.290563033885906,20.6051786962229,0.328443592621595,0.933647425157431,NA
A6NDG6,ctrlH-Norm,0.197554266593834,0.290563033885906,20.6051786962229,0.504134516692065,0.999843706217135,NA
A6NDG6,M-Norm,-0.0932958269060284,0.237243723711829,20.6051786962196,0.698174921824073,0.99768989811509,NA
A6NES4,ctrlH-M,0.0687797707448006,0.652684337691601,10.605176955788,0.918041083608099,0.998441172273122,NA
A6NES4,ctrlH-Norm,0.313346707955701,0.652684337691601,10.605176955788,0.640912921488081,0.999843706217135,NA
A6NES4,M-Norm,0.2445669372109,0.532914530150269,10.605176955788,0.655551624464453,0.99768989811509,NA
A6NF01,ctrlH-M,1.30510453838962,1.17448633350811,10.605176955788,0.291034096729849,0.933647425157431,NA
A6NF01,ctrlH-Norm,0.242740766712948,1.17448633350811,10.605176955788,0.840175563927346,0.999843706217135,NA
A6NF01,M-Norm,-1.06236377167667,0.958964075655713,10.605176955788,0.292430449462259,0.99768989811509,NA
A6NFI3,ctrlH-M,-0.262282430444939,0.306496732749903,18.6051783648475,0.403026571985549,0.936652679519394,NA
A6NFI3,ctrlH-Norm,-0.0314729880653633,0.313943476695186,18.6426943218115,0.921215710294751,0.999843706217135,NA
A6NFI3,M-Norm,0.230809442379576,0.259320440441305,18.6599656364615,0.38476826863487,0.99768989811509,NA
A6NFQ2,ctrlH-M,-0.354191038227464,0.402721022312853,19.6051774289802,0.389786219713406,0.936652679519394,NA
A6NFQ2,ctrlH-Norm,-0.265393711574296,0.402721022312853,19.6051774289802,0.517560939017916,0.999843706217135,NA
A6NFQ2,M-Norm,0.0887973266531676,0.328820337786163,19.6051774289824,0.789945382457825,0.99768989811509,NA
A6NHQ2,ctrlH-M,-0.0943771028019373,0.510768141092782,20.6051774440507,0.855212194866944,0.992879159641751,NA
A6NHQ2,ctrlH-Norm,-0.30026419839346,0.510768141092782,20.6051774440507,0.563009039301174,0.999843706217135,NA
A6NHQ2,M-Norm,-0.205887095591523,0.417040440849067,20.6051774440471,0.626749059448355,0.99768989811509,NA
A6NHR9,ctrlH-M,0.106411441508113,0.268307970257654,20.6051790737474,0.695738638385495,0.973645966405602,NA
A6NHR9,ctrlH-Norm,-0.106978029204122,0.268307970257654,20.6051790737474,0.694206000656191,0.999843706217135,NA
A6NHR9,M-Norm,-0.213389470712236,0.219072540351032,20.6051790737492,0.341324774292893,0.99768989811509,NA
A6NI56,ctrlH-M,0.346637964329624,1.44056872825388,10.605176955788,0.814433328583074,0.988915181750673,NA
A6NI56,ctrlH-Norm,-0.465233642049551,1.44056872825388,10.605176955788,0.753009861299385,0.999843706217135,NA
A6NI56,M-Norm,-0.811871606379175,1.17621944121069,10.605176955788,0.504869405665954,0.99768989811509,NA
A6NI79,ctrlH-M,0.427237950158487,0.25591393735922,20.6051792840864,0.110150032453758,0.933647425157431,NA
A6NI79,ctrlH-Norm,0.227266130686275,0.25591393735922,20.6051792840864,0.384759647348128,0.999843706217135,NA
